Workers,Time (ms),Speedup,Pi,Relative Error (%),Total Points
1,134,0.83,3.1419390000,1,102454864130589E-2,16000000
2,87,1.28,3.1413932500,6,347213397164248E-3,16000000
4,50,2.22,3.1412805000,9,936157363886321E-3,16000000
8,28,3.96,3.1417127500,3,822787466401692E-3,16000000
16,28,3.96,3.1416487500,1,785604194823394E-3,16000000
32,25,4.44,3.1419645000,1,183623885107493E-2,16000000
